name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,category,instructions,name_in_persian,instructions_in_persian
Triceps Pushdown - V-Bar Attachment,push,beginner,isolation,cable,triceps,,strength,"Attach a V-Bar to a high pulley and grab with an overhand grip (palms facing down) at shoulder width., Standing upright with the torso straight and a very small inclination forward, bring the upper arms close to your body and perpendicular to the floor. The forearms should be pointing up towards the pulley as they hold the bar. The thumbs should be higher than the small finger. This is your starting position., Using the triceps, bring the bar down until it touches the front of your thighs and the arms are fully extended perpendicular to the floor. The upper arms should always remain stationary next to your torso and only the forearms should move. Exhale as you perform this movement., After a second hold at the contracted position, bring the V-Bar slowly up to the starting point. Breathe in as you perform this step., Repeat for the recommended amount of repetitions.",پشت بازو سیمکش - اتصال میله V شکل,"یک میله V شکل را به یک قرقره بلند وصل کنید و با گرفتن دست از بالا (کف دست‌ها رو به پایین) به اندازه عرض شانه، آن را بگیرید. صاف بایستید، تنه را صاف و کمی به جلو متمایل کنید، بازوها را به بدن خود نزدیک و عمود بر زمین قرار دهید. ساعدها باید در حالی که میله را نگه داشته‌اند، به سمت قرقره باشند. شست‌ها باید بالاتر از انگشت کوچک باشند. این حالت شروع شماست. با استفاده از عضلات سه سر، میله را پایین بیاورید تا جلوی ران‌هایتان را لمس کند و بازوها کاملاً کشیده و عمود بر زمین باشند. بازوها باید همیشه در کنار تنه شما ثابت بمانند و فقط ساعدها باید حرکت کنند. هنگام انجام این حرکت نفس خود را بیرون دهید. پس از یک ثانیه نگه داشتن در حالت انقباض، میله V شکل را به آرامی تا نقطه شروع بالا بیاورید. هنگام انجام این مرحله نفس بکشید. این حرکت را به تعداد تکرار توصیه شده تکرار کنید."
Triceps Stretch,static,beginner,isolation,,triceps,lats,stretching,"Reach your hand behind your head, grasp your elbow and gently pull. Hold for 10 to 20 seconds, then switch sides.",کشش عضله سه سر بازو,"دست خود را پشت سرتان ببرید، آرنج خود را بگیرید و به آرامی بکشید. 10 تا 20 ثانیه نگه دارید، سپس دست خود را عوض کنید."
Tricep Dumbbell Kickback,push,beginner,isolation,dumbbell,triceps,,strength,"Start with a dumbbell in each hand and your palms facing your torso. Keep your back straight with a slight bend in the knees and bend forward at the waist. Your torso should be almost parallel to the floor. Make sure to keep your head up. Your upper arms should be close to your torso and parallel to the floor. Your forearms should be pointed towards the floor as you hold the weights. There should be a 90-degree angle formed between your forearm and upper arm. This is your starting position., Now, while keeping your upper arms stationary, exhale and use your triceps to lift the weights until the arm is fully extended. Focus on moving the forearm., After a brief pause at the top contraction, inhale and slowly lower the dumbbells back down to the starting position., Repeat the movement for the prescribed amount of repetitions.",کیک بک دمبل پشت بازو,"با یک دمبل در هر دست و کف دست‌هایتان رو به بالاتنه شروع کنید. کمر خود را صاف نگه دارید، زانوها را کمی خم کنید و از کمر به جلو خم شوید. بالاتنه شما باید تقریباً موازی با زمین باشد. حتماً سر خود را بالا نگه دارید. بازوهای شما باید نزدیک به تنه و موازی با زمین باشند. ساعدهای شما باید هنگام نگه داشتن وزنه‌ها به سمت زمین باشند. باید زاویه‌ای ۹۰ درجه بین ساعد و بازوی شما ایجاد شود. این حالت شروع شماست. حالا، در حالی که بازوهای خود را ثابت نگه داشته‌اید، نفس خود را بیرون دهید و از عضله سه سر خود برای بلند کردن وزنه‌ها استفاده کنید تا بازو کاملاً کشیده شود. روی حرکت ساعد تمرکز کنید. پس از مکثی کوتاه در بالاترین نقطه انقباض، نفس خود را به داخل بکشید و به آرامی دمبل‌ها را به حالت شروع پایین بیاورید. حرکت را با تعداد تکرارهای تعیین شده تکرار کنید."
Tricep Side Stretch,static,beginner,,,triceps,shoulders,stretching,"Bring right arm across your body and over your left shoulder, holding your elbow with your left hand, until you feel a stretch in your tricep. Then repeat for your other arm.",کشش جانبی عضله سه سر بازو,"دست راست را در امتداد بدن و بالای شانه چپ خود قرار دهید، آرنج خود را با دست چپ خود نگه دارید، تا زمانی که در عضله سه سر خود احساس کشش کنید. سپس برای بازوی دیگر خود تکرار کنید."
Tuck Crunch,pull,beginner,isolation,body only,abdominals,,strength,"To begin, lie down on the floor or an exercise mat with your back pressed against the floor. Your arms should be lying across your sides with the palms facing down., Your legs should be crossed by wrapping one ankle around the other. Slowly elevate your legs up in the air until your thighs are perpendicular to the floor with a slight bend at the knees. Note: Your knees and toes should be parallel to the floor as opposed to the thighs., Move your arms from the floor and cross them so they are resting on your chest. This is the starting position., While keeping your lower back pressed against the floor, slowly lift your torso. Remember to exhale while perform this part of the exercise., Slowly begin to lower your torso back down to the starting position while inhaling., Repeat for the recommended amount of repetitions.",کرانچ تاک,"برای شروع، روی زمین یا یک تشک ورزشی دراز بکشید و کمر خود را به زمین فشار دهید. بازوهایتان باید در دو طرف بدنتان قرار داشته باشند و کف دست‌ها رو به پایین باشد. پاهایتان را باید با پیچیدن یک مچ پا به دور مچ پای دیگر، ضربدری کنید. به آرامی پاهایتان را در هوا بالا بیاورید تا ران‌هایتان عمود بر زمین قرار گیرند و زانوهایتان کمی خم شود. توجه: زانوها و انگشتان پا باید موازی با زمین باشند، نه ران‌ها. بازوهایتان را از روی زمین بلند کنید و به صورت ضربدری روی سینه‌تان قرار دهید. این حالت شروع است. در حالی که کمرتان را به زمین فشار می‌دهید، به آرامی تنه خود را بلند کنید. به یاد داشته باشید که هنگام انجام این بخش از تمرین، بازدم کنید. در حالی که نفس می‌کشید، به آرامی شروع به پایین آوردن تنه خود به حالت شروع کنید. این حرکت را به تعداد توصیه شده تکرار کنید."
Two-Arm Dumbbell Preacher Curl,pull,beginner,isolation,dumbbell,biceps,,strength,"Grab a dumbbell with each arm and place the upper arms on top of the preacher bench or the incline bench. The dumbbell should be held at shoulder length. This will be your starting position., As you breathe in, slowly lower the dumbbells until your upper arm is extended and the biceps is fully stretched., As you exhale, use the biceps to curl the weights up until your biceps is fully contracted and the dumbbells are at shoulder height., Squeeze the biceps hard for a second at the contracted position and repeat for the recommended amount of repetitions.",جلو بازو لاری با دمبل دو دست,"با هر دست یک دمبل بگیرید و دست‌ها را روی نیمکت واعظ یا نیمکت شیب‌دار قرار دهید. دمبل باید در امتداد شانه نگه داشته شود. این حالت شروع شما خواهد بود. همزمان با دم، دمبل‌ها را به آرامی پایین بیاورید تا بازوی شما صاف و عضله دوسر بازو کاملاً کشیده شود. همزمان با بازدم، از عضله دوسر برای بالا بردن وزنه‌ها استفاده کنید تا عضله دوسر بازو کاملاً منقبض شود و دمبل‌ها در ارتفاع شانه قرار گیرند. در حالت انقباض، عضله دوسر را به مدت یک ثانیه محکم منقبض کنید و به تعداد توصیه شده تکرار کنید."
Two-Arm Kettlebell Clean,pull,intermediate,compound,kettlebells,shoulders,"calves, glutes, hamstrings, lower back, traps",strength,"Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead., Clean the kettlebells to your shoulders by extending through the legs and hips as you raise the kettlebells towards your shoulders. Rotate your wrists as you do so., Lower the kettlebells back to the starting position and repeat.",کتل‌بل کلین با دو دست,"دو کتل‌بل را بین پاهای خود قرار دهید. برای قرار گرفتن در موقعیت شروع، باسن خود را به عقب فشار دهید و مستقیم به جلو نگاه کنید. کتل‌بل‌ها را با کشش پاها و باسن به سمت شانه‌های خود برسانید و همزمان کتل‌بل‌ها را به سمت شانه‌های خود بالا بیاورید. در حین انجام این کار، مچ دست‌های خود را بچرخانید. کتل‌بل‌ها را به موقعیت شروع برگردانید و تکرار کنید."
Two-Arm Kettlebell Jerk,push,intermediate,compound,kettlebells,shoulders,"calves, quadriceps, triceps",strength,"Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you swing the kettlebells towards your shoulders. Rotate your wrists as you do so, so that the palms face forward. Squat down a few inches and reverse the motion rapidly driving both kettlebells overhead. Immediately after the initial push, squat down again and get under the kettlebells. Once the kettlebells are locked out, stand upright to complete the exercise.",حرکت تند و سریع کتل‌بل با دو دست,"دو کتل‌بل را تا شانه‌هایتان بالا بیاورید. با کشیدن کتل‌بل‌ها از طریق پاها و باسن، کتل‌بل‌ها را تا شانه‌هایتان بالا بیاورید و همزمان کتل‌بل‌ها را به سمت شانه‌هایتان بچرخانید. در حین انجام این کار، مچ دست‌هایتان را بچرخانید، به طوری که کف دست‌ها رو به جلو باشند. چند اینچ به پایین چمباتمه بزنید و حرکت را به سرعت معکوس کنید و هر دو کتل‌بل را بالای سرتان ببرید. بلافاصله پس از فشار اولیه، دوباره چمباتمه بزنید و زیر کتل‌بل‌ها قرار بگیرید. پس از قفل شدن کتل‌بل‌ها، برای تکمیل تمرین صاف بایستید."
Two-Arm Kettlebell Military Press,push,intermediate,compound,kettlebells,shoulders,triceps,strength,"Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you swing the kettlebells towards your shoulders. Rotate your wrists as you do so, so that the palms face forward., Press the kettlebells up and out. As the kettlebells pass your head, lean into the weights so that the kettlebells are racked behind your head. Make sure to contract your lats, butt, and stomach for added stability.",پرس نظامی با کتل‌بل دو دست,"دو کتل‌بل را به شانه‌هایتان بچسبانید. با کشیدن کتل‌بل‌ها از طریق پاها و باسن، کتل‌بل‌ها را به شانه‌هایتان بچسبانید و همزمان کتل‌بل‌ها را به سمت شانه‌هایتان بچرخانید. در حین انجام این کار، مچ‌هایتان را بچرخانید تا کف دست‌ها رو به جلو باشند. کتل‌بل‌ها را به بالا و بیرون فشار دهید. همزمان با عبور کتل‌بل‌ها از سرتان، به سمت وزنه‌ها خم شوید تا کتل‌بل‌ها پشت سرتان قرار گیرند. برای ثبات بیشتر، حتماً عضلات زیر بغل، باسن و شکم خود را منقبض کنید."
Two-Arm Kettlebell Row,pull,intermediate,compound,kettlebells,middle back,"biceps, lats",strength,"Place two kettlebells in front of your feet. Bend your knees slightly and then push your butt out as much as possible as you bend over to get in the starting position., Grab both kettlebells and pull them to your stomach, retracting your shoulder blades and flexing the elbows. Keep your back straight. Lower and repeat.",پارویی با کتل‌بل دو دست,"دو کتل‌بل را جلوی پاهایتان قرار دهید. زانوهایتان را کمی خم کنید و سپس در حالی که خم می‌شوید تا در موقعیت شروع قرار بگیرید، باسن خود را تا حد امکان به سمت بیرون فشار دهید. هر دو کتل‌بل را بگیرید و آنها را به سمت شکم خود بکشید، تیغه‌های شانه خود را به عقب بکشید و آرنج‌هایتان را خم کنید. کمر خود را صاف نگه دارید. پایین بیاورید و تکرار کنید."
Underhand Cable Pulldowns,pull,beginner,compound,cable,lats,"biceps, middle back, shoulders",strength,"Sit down on a pull-down machine with a wide bar attached to the top pulley. Adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar., Grab the pull-down bar with the palms facing your torso (a supinated grip). Make sure that the hands are placed closer than the shoulder width., As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position., As you breathe out, pull the bar down until it touches your upper chest by drawing the shoulders and the upper arms down and back. Tip: Concentrate on squeezing the back muscles once you reach the fully contracted position and keep the elbows close to your body. The upper torso should remain stationary as your bring the bar to you and only the arms should move. The forearms should do no other work other than hold the bar., After a second on the contracted position, while breathing in, slowly bring the bar back to the starting position when your arms are fully extended and the lats are fully stretched., Repeat this motion for the prescribed amount of repetitions.",سیم‌کش از زیر دست,"روی دستگاه سیم‌کشی بنشینید و یک میله پهن به قرقره بالایی آن متصل است. پد زانوی دستگاه را متناسب با قد خود تنظیم کنید. این پدها از بلند شدن بدن شما توسط مقاومت متصل به میله جلوگیری می‌کنند. میله سیم‌کشی را طوری بگیرید که کف دست‌ها رو به بالاتنه باشند (گرفتن در حالت سوپینیشن). مطمئن شوید که دست‌ها نزدیک‌تر از عرض شانه قرار گرفته‌اند. همانطور که هر دو دست را در جلوی خود کشیده‌اید و میله را با عرض گرفتن انتخاب شده نگه داشته‌اید، تنه خود را حدود 30 درجه به عقب ببرید و در حالی که یک انحنا در کمر خود ایجاد می‌کنید و سینه خود را به جلو می‌دهید، این حالت شروع شماست. هنگام بازدم، میله را با کشیدن شانه‌ها و بازوها به پایین و عقب، تا زمانی که با قسمت بالای سینه شما تماس پیدا کند، پایین بکشید. نکته: پس از رسیدن به حالت انقباض کامل، روی منقبض کردن عضلات پشت تمرکز کنید و آرنج‌ها را نزدیک بدن خود نگه دارید. قسمت بالای تنه باید ثابت بماند زیرا میله را به سمت خود می‌آورید و فقط بازوها باید حرکت کنند. ساعدها نباید هیچ کار دیگری جز نگه داشتن میله انجام دهند. پس از یک ثانیه در حالت انقباض، همزمان با انجام عمل دم، به آرامی میله را به حالت شروع برگردانید، زمانی که بازوهایتان کاملاً کشیده و عضلات زیر بغل کاملاً کشیده شده‌اند. این حرکت را به تعداد تکرارهای تجویز شده تکرار کنید."
Upper Back-Leg Grab,static,beginner,,,hamstrings,"lower back, middle back",stretching,"While seated, bend forward to hug your thighs from underneath with both arms., Keep your knees together and your legs extended out as you bring your chest down to your knees. You can also stretch your middle back by pulling your back away from your knees as your hugging them.",گرفتن قسمت بالایی پشت پا,"در حالی که نشسته‌اید، به جلو خم شوید و ران‌های خود را از زیر با هر دو دست بغل کنید. زانوهای خود را کنار هم نگه دارید و پاهای خود را در حالی که سینه خود را به سمت زانوها پایین می‌برید، صاف نگه دارید. همچنین می‌توانید با دور کردن کمر از زانوها هنگام بغل کردن آنها، قسمت میانی کمر خود را کشش دهید."
Upper Back Stretch,static,beginner,,,middle back,middle back,stretching,"Clasp fingers together with your thumbs pointing down, round your shoulders as you reach your hands forward.",کشش بالای کمر,"انگشتان دست خود را در هم قلاب کنید، به طوری که شست‌هایتان به سمت پایین باشد، در حالی که دست‌هایتان را به جلو می‌کشید، شانه‌هایتان را گرد کنید."
Upright Barbell Row,pull,beginner,compound,barbell,shoulders,traps,strength,"Grasp a barbell with an overhand grip that is slightly less than shoulder width. The bar should be resting on the top of your thighs with your arms extended and a slight bend in your elbows. Your back should also be straight. This will be your starting position., Now exhale and use the sides of your shoulders to lift the bar, raising your elbows up and to the side. Keep the bar close to your body as you raise it. Continue to lift the bar until it nearly touches your chin. Tip: Your elbows should drive the motion, and should always be higher than your forearms. Remember to keep your torso stationary and pause for a second at the top of the movement., Lower the bar back down slowly to the starting position. Inhale as you perform this portion of the movement., Repeat for the recommended amount of repetitions.",پارویی با هالتر عمودی,"یک هالتر را با فاصله کمی کمتر از عرض شانه و به صورت رو به بالا بگیرید. هالتر باید روی ران‌هایتان قرار گیرد، بازوهایتان کشیده و آرنج‌هایتان کمی خم باشد. کمرتان نیز باید صاف باشد. این حالت شروع شما خواهد بود. حالا نفس خود را بیرون دهید و از کناره‌های شانه‌هایتان برای بلند کردن هالتر استفاده کنید و آرنج‌هایتان را به سمت بالا و پهلوها بالا ببرید. هنگام بالا بردن هالتر، آن را نزدیک بدن خود نگه دارید. به بالا بردن هالتر ادامه دهید تا تقریباً چانه‌تان را لمس کند. نکته: آرنج‌هایتان باید حرکت را هدایت کنند و همیشه باید بالاتر از ساعدهایتان باشند. به یاد داشته باشید که تنه خود را ثابت نگه دارید و در بالای حرکت یک ثانیه مکث کنید. هالتر را به آرامی به حالت شروع برگردانید. هنگام انجام این بخش از حرکت، نفس عمیق بکشید. این حرکت را به تعداد تکرار توصیه شده تکرار کنید."
Upright Cable Row,pull,intermediate,compound,cable,traps,shoulders,strength,"Grasp a straight bar cable attachment that is attached to a low pulley with a pronated (palms facing your thighs) grip that is slightly less than shoulder width. The bar should be resting on top of your thighs. Your arms should be extended with a slight bend at the elbows and your back should be straight. This will be your starting position., Use your side shoulders to lift the cable bar as you exhale. The bar should be close to the body as you move it up. Continue to lift it until it nearly touches your chin. Tip: Your elbows should drive the motion. As you lift the bar, your elbows should always be higher than your forearms. Also, keep your torso stationary and pause for a second at the top of the movement., Lower the bar back down slowly to the starting position. Inhale as you perform this portion of the movement., Repeat for the recommended amount of repetitions.",پارویی کابلی عمودی,"یک میله صاف که به یک قرقره پایین متصل است را با گرفتن کمی کمتر از عرض شانه (کف دست‌ها رو به ران‌ها) در حالت پرونیت (کف دست‌ها رو به ران‌ها) بگیرید. میله باید روی ران‌های شما قرار گیرد. بازوهای شما باید با کمی خمیدگی در آرنج‌ها کشیده شده و کمر شما صاف باشد. این حالت شروع شما خواهد بود. هنگام بازدم، از شانه‌های کناری خود برای بلند کردن میله کابل استفاده کنید. هنگام بالا بردن میله، میله باید نزدیک بدن باشد. به بالا بردن آن ادامه دهید تا تقریباً چانه شما را لمس کند. نکته: آرنج‌های شما باید حرکت را هدایت کنند. هنگام بالا بردن میله، آرنج‌های شما همیشه باید بالاتر از ساعدهای شما باشند. همچنین، تنه خود را ثابت نگه دارید و در بالای حرکت یک ثانیه مکث کنید. میله را به آرامی به حالت شروع پایین بیاورید. هنگام انجام این بخش از حرکت، نفس عمیق بکشید. این حرکت را به تعداد تکرار توصیه شده تکرار کنید."
Upright Row - With Bands,pull,beginner,compound,bands,traps,shoulders,strength,"To begin, stand on an exercise band so that tension begins at arm's length. Grasp the handles using a pronated (palms facing your thighs) grip that is slightly less than shoulder width. The handles should be resting on top of your thighs. Your arms should be extended with a slight bend at the elbows and your back should be straight. This will be your starting position., Use your side shoulders to lift the handles as you exhale. The handles should be close to the body as you move them up. Continue to lift the handles until they nearly touches your chin. Tip: Your elbows should drive the motion. As you lift the handles, your elbows should always be higher than your forearms. Also, keep your torso stationary and pause for a second at the top of the movement., Lower the handles back down slowly to the starting position. Inhale as you perform this portion of the movement., Repeat for the recommended amount of repetitions.",پارویی ایستاده - با کش,"برای شروع، روی یک کش ورزشی بایستید به طوری که کشش از طول بازو شروع شود. دسته‌ها را با دست‌های چرخان (کف دست‌ها رو به ران‌ها) که کمی کمتر از عرض شانه است، بگیرید. دسته‌ها باید روی ران‌هایتان قرار گیرند. بازوهایتان باید با کمی خمیدگی در آرنج کشیده شده و کمرتان صاف باشد. این حالت شروع شما خواهد بود. هنگام بازدم، از شانه‌های کناری خود برای بلند کردن دسته‌ها استفاده کنید. هنگام بالا بردن دسته‌ها، آنها باید نزدیک بدن باشند. به بالا بردن دسته‌ها ادامه دهید تا تقریباً به چانه شما برسند. نکته: آرنج‌های شما باید حرکت را هدایت کنند. هنگام بالا بردن دسته‌ها، آرنج‌هایتان همیشه باید بالاتر از ساعدهایتان باشند. همچنین، تنه خود را ثابت نگه دارید و در بالای حرکت یک ثانیه مکث کنید. دسته‌ها را به آرامی به حالت شروع پایین بیاورید. هنگام انجام این بخش از حرکت، نفس عمیق بکشید. این حرکت را به تعداد تکرار توصیه شده تکرار کنید."
Upward Stretch,static,beginner,,,shoulders,"chest, lats",stretching,"Extend both hands straight above your head, palms touching., Slowly push your hands up and back, keeping your back straight.",کشش رو به بالا,"هر دو دست را مستقیماً بالای سر خود دراز کنید، کف دست‌ها به هم برسند، به آرامی دست‌های خود را به بالا و عقب فشار دهید و کمر خود را صاف نگه دارید."
V-Bar Pulldown,pull,intermediate,compound,cable,lats,"biceps, middle back, shoulders",strength,"Sit down on a pull-down machine with a V-Bar attached to the top pulley., Adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar., Grab the V-bar with the palms facing each other (a neutral grip). Stick your chest out and lean yourself back slightly (around 30-degrees) in order to better engage the lats. This will be your starting position., Using your lats, pull the bar down as you squeeze your shoulder blades. Continue until your chest nearly touches the V-bar. Exhale as you execute this motion. Tip: Keep the torso stationary throughout the movement., After a second hold on the contracted position, slowly bring the bar back to the starting position as you breathe in., Repeat for the prescribed number of repetitions.",سیم‌کش با میله V شکل,"روی دستگاه سیم‌کشی بنشینید و یک میله V شکل به قرقره بالایی متصل کنید. پد زانوی دستگاه را متناسب با قد خود تنظیم کنید. این پدها از بلند شدن بدن شما توسط مقاومت متصل به میله جلوگیری می‌کنند. میله V شکل را با کف دست‌ها رو به یکدیگر (گرفتن خنثی) بگیرید. سینه خود را به سمت بیرون بکشید و کمی به عقب (حدود 30 درجه) خم شوید تا عضلات زیر بغل بهتر درگیر شوند. این حالت شروع شما خواهد بود. با استفاده از عضلات زیر بغل، میله را به سمت پایین بکشید و همزمان تیغه‌های شانه خود را منقبض کنید. این حرکت را تا زمانی که سینه شما تقریباً میله V شکل را لمس کند، ادامه دهید. هنگام اجرای این حرکت، بازدم انجام دهید. نکته: در طول حرکت، تنه را ثابت نگه دارید. پس از یک ثانیه نگه داشتن در حالت انقباض، همزمان با نفس کشیدن، میله را به آرامی به حالت شروع برگردانید. این حرکت را به تعداد تکرارهای تعیین شده تکرار کنید."
V-Bar Pullup,pull,beginner,compound,body only,lats,"biceps, middle back, shoulders",strength,"Start by placing the middle of the V-bar in the middle of the pull-up bar (assuming that the pull-up station you are using does not have neutral grip handles). The V-Bar handles will be facing down so that you can hang from the pull-up bar through the use of the handles., Once you securely place the V-bar, take a hold of the bar from each side and hang from it. Stick your chest out and lean yourself back slightly in order to better engage the lats. This will be your starting position., Using your lats, pull your torso up while leaning your head back slightly so that you do not hit yourself with the chin-up bar. Continue until your chest nearly touches the V-bar. Exhale as you execute this motion., After a second hold on the contracted position, slowly lower your body back to the starting position as you breathe in., Repeat for the prescribed number of repetitions.",پول‌آپ با میله V شکل,"با قرار دادن وسط میله V در وسط میله بارفیکس شروع کنید (با فرض اینکه دستگاه بارفیکس مورد استفاده شما دسته‌های خنثی ندارد). دسته‌های میله V رو به پایین خواهند بود تا بتوانید با استفاده از دسته‌ها از میله بارفیکس آویزان شوید. پس از اینکه میله V را محکم قرار دادید، از هر طرف میله را بگیرید و از آن آویزان شوید. سینه خود را به سمت بیرون بکشید و کمی به عقب خم شوید تا عضلات زیر بغل بهتر درگیر شوند. این حالت شروع شما خواهد بود. با استفاده از عضلات زیر بغل، تنه خود را در حالی که سر خود را کمی به عقب خم می‌کنید، بالا بکشید تا با میله بارفیکس به خود برخورد نکنید. تا زمانی که سینه شما تقریباً میله V را لمس کند، ادامه دهید. هنگام اجرای این حرکت، بازدم انجام دهید. پس از یک ثانیه نگه داشتن در حالت انقباض، همزمان با نفس کشیدن، به آرامی بدن خود را به حالت شروع برگردانید. این حرکت را به تعداد تکرارهای تعیین شده تکرار کنید."
Vertical Swing,pull,beginner,compound,dumbbell,hamstrings,"glutes, quadriceps, shoulders",plyometrics,"Allow the dumbbell to hang at arms length between your legs, holding it with both hands. Keep your back straight and your head up., Swing the dumbbell between your legs, flexing at the hips and bending the knees slightly., Powerfully reverse the motion by extending at the hips, knees, and ankles to propel yourself upward, swinging the dumbell over your head., As you land, absorb the impact through your legs and draw the dumbbell to your torso before the next repetition.",تاب عمودی,"اجازه دهید دمبل به اندازه طول بازوها بین پاهایتان آویزان باشد و آن را با هر دو دست نگه دارید. کمر خود را صاف و سرتان را بالا نگه دارید. دمبل را بین پاهایتان تاب دهید، باسن و زانوها را کمی خم کنید. با کشش باسن، زانوها و مچ پا، حرکت را با قدرت معکوس کنید تا خود را به سمت بالا بکشید و دمبل را بالای سرتان تاب دهید. هنگام فرود، ضربه را از طریق پاهایتان جذب کنید و قبل از تکرار بعدی، دمبل را به سمت تنه خود بکشید."
"Walking, Treadmill",,beginner,,machine,quadriceps,"calves, glutes, hamstrings",cardio,"To begin, step onto the treadmill and select the desired option from the menu. Most treadmills have a manual setting, or you can select a program to run. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise. Elevation can be adjusted to change the intensity of the workout., Treadmills offer convenience, cardiovascular benefits, and usually have less impact than walking outside. When walking, you should move at a moderate to fast pace, not a leisurely one. Being an activity of lower intensity, walking doesn't burn as many calories as some other activities, but still provides great benefit. A 150 lb person will burn about 175 calories walking 4 miles per hour for 30 minutes, compared to 450 calories running twice as fast. Maintain proper posture as you walk, and only hold onto the handles when necessary, such as when dismounting or checking your heart rate.","پیاده‌روی، تردمیل","برای شروع، روی تردمیل بروید و گزینه مورد نظر را از منو انتخاب کنید. اکثر تردمیل‌ها تنظیمات دستی دارند، یا می‌توانید برنامه‌ای را برای دویدن انتخاب کنید. معمولاً می‌توانید سن و وزن خود را وارد کنید تا میزان کالری سوزانده شده در طول ورزش را تخمین بزنید. ارتفاع را می‌توان برای تغییر شدت تمرین تنظیم کرد. تردمیل‌ها راحتی، مزایای قلبی عروقی و معمولاً تأثیر کمتری نسبت به پیاده‌روی در فضای باز دارند. هنگام پیاده‌روی، باید با سرعت متوسط تا سریع حرکت کنید، نه با سرعت آرام. پیاده‌روی به عنوان یک فعالیت با شدت کمتر، به اندازه برخی فعالیت‌های دیگر کالری نمی‌سوزاند، اما همچنان فواید زیادی دارد. یک فرد 78 کیلوگرمی با پیاده‌روی 4 مایل در ساعت به مدت 30 دقیقه حدود 175 کالری می‌سوزاند، در مقایسه با 450 کالری که با دو برابر سرعت می‌دود. هنگام پیاده‌روی وضعیت بدنی مناسبی را حفظ کنید و فقط در مواقع ضروری، مانند هنگام پیاده شدن یا بررسی ضربان قلب، دسته‌ها را بگیرید."
Weighted Ball Hyperextension,pull,intermediate,compound,exercise ball,lower back,"glutes, hamstrings, middle back",strength,"To begin, lie down on an exercise ball with your torso pressing against the ball and parallel to the floor. The ball of your feet should be pressed against the floor to help keep you balanced. Place a weighted plate under your chin or behind your neck. This is the starting position., Slowly raise your torso up by bending at the waist and lower back. Remember to exhale during this movement., Hold the contraction on your lower back for a second and lower your torso back down to the starting position while inhaling., Repeat for the recommended amount of repetitions prescribed in your program.",هایپراکستنشن با توپ وزنه‌دار,"برای شروع، روی یک توپ ورزشی دراز بکشید و تنه خود را به توپ فشار دهید و موازی با زمین قرار دهید. قسمت پنجه پا باید به زمین فشار داده شود تا به حفظ تعادل شما کمک کند. یک صفحه وزنه دار را زیر چانه یا پشت گردن خود قرار دهید. این حالت شروع است. با خم کردن کمر و پایین کمر، به آرامی تنه خود را بالا بیاورید. به یاد داشته باشید که در طول این حرکت بازدم کنید. انقباض را برای یک ثانیه در قسمت پایین کمر خود نگه دارید و در حین دم، تنه خود را به حالت شروع برگردانید. این حرکت را به تعداد توصیه شده در برنامه خود تکرار کنید."
Weighted Ball Side Bend,pull,intermediate,isolation,exercise ball,abdominals,,strength,"To begin, lie down on an exercise ball with your left side of the torso (waist, hips and shoulder) pressed against the ball., Your feet should be on the floor while your legs are crossed and hanging from the ball. Hold a weighted plate with your right hand directly to the right side of your head. Tip: Make sure the smooth side of the plate is resting against your head., Place your left arm across your torso so that your palm is on your obliques. There should be a right angle between your left forearm and upper arm. This is the starting position., Raise the side of your torso up by laterally flexing at the waist while exhaling., Hold the contraction for a second and slowly lower yourself back down to the starting position while inhaling., Repeat for the recommended amount of repetitions., Switch sides and repeat the exercise.",خم شدن به پهلو با گوی وزنه‌دار,"برای شروع، روی یک توپ ورزشی دراز بکشید و سمت چپ تنه (کمر، باسن و شانه) خود را به توپ فشار دهید. پاهایتان باید روی زمین باشد در حالی که پاهایتان ضربدری و از توپ آویزان هستند. یک صفحه وزنه‌دار را با دست راست خود مستقیماً در سمت راست سرتان نگه دارید. نکته: مطمئن شوید که طرف صاف صفحه روی سرتان قرار دارد. بازوی چپ خود را روی تنه خود قرار دهید به طوری که کف دستتان روی عضلات مورب باشد. باید زاویه قائمه بین ساعد چپ و بازوی بالایی شما وجود داشته باشد. این حالت شروع است. هنگام بازدم، با خم کردن جانبی کمر، یک طرف تنه خود را بالا بیاورید. انقباض را برای یک ثانیه نگه دارید و هنگام دم، به آرامی خود را به حالت شروع برگردانید. این حرکت را به تعداد توصیه شده تکرار کنید. جهت را عوض کنید و تمرین را تکرار کنید."
